client,tau_5,tau_10,tau_15,tau_20,tau_25,tau_30
A,39.720444088817764,41.395779155831164,42.18593718743749,41.95089017803561,41.89587917583516,41.71334266853371
B,40.75049922343022,42.359108054138005,43.15786554248946,43.30485910805414,43.424118038606615,43.296538717550476
C,41.374779778434714,43.34856221445848,44.24736480635433,44.83860372062468,45.385051808056375,45.92254173012034
D,43.31932005117894,46.52165966002559,48.16669713032352,49.7093767135807,50.619630780478886,51.75287881557302
E,44.956073916994846,48.48747132903449,50.91963474271866,52.13138875665383,53.849482840697625,54.84485220928723
F,47.00732022391273,51.667384335677724,54.26056169561265,56.93985933687383,59.48997655614564,61.88220659298598
